Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Estimated crime in Alabama

Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
2005,   4548327,      19678,         374,       1564,       6447,      11293,     177393,      43473,     120780,      13140,         433.0,           8.2,          34.4,         141.7,         248.3,       3900.0,         955.8,       2656.0,         289.0 
2006,   4599030,      19553,         382,       1646,       7062,      10463,     181249,      44780,     121451,      15018,         425.2,           8.3,          35.8,         153.6,         227.5,       3941.0,         973.7,       2640.8,         326.5 
2007,   4627851,      20775,         412,       1548,       7398,      11417,     184082,      45379,     124465,      14238,         448.9,           8.9,          33.4,         159.9,         246.7,       3977.7,         980.6,       2689.5,         307.7 
2008,   4661900,      21110,         351,       1618,       7346,      11795,     190416,      50411,     126539,      13466,         452.8,           7.5,          34.7,         157.6,         253.0,       4084.5,       1081.3,       2714.3,         288.9 
2009,   4708708,      21194,         322,       1504,       6265,      13103,     178007,      48844,     118072,      11091,         450.1,           6.8,          31.9,         133.1,         278.3,       3780.4,       1037.3,       2507.5,         235.5 
2010,   4785401,      18363,         275,       1355,       4864,      11869,     168828,      42484,     115564,      10780,         383.7,           5.7,          28.3,         101.6,         248.0,       3528.0,         887.8,       2414.9,         225.3 
2011,   4803689,      20166,         299,       1370,       4906,      13591,     173192,      51119,     111411,      10662,         419.8,           6.2,          28.5,         102.1,         282.9,       3605.4,       1064.2,       2319.3,         222.0 
2012,   4822023,      21693,         342,       1296,       5020,      15035,     168878,      47481,     111523,       9874,         449.9,           7.1,          26.9,         104.1,         311.8,       3502.2,         984.7,       2312.8,         204.8 

Estimated crime in Alaska

Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
1977,     407000,       1804,          44,         210,         394,       1156,      22201,       5420,      13715,       3066,         443.2,          10.8,          51.6,          96.8,         284.0,       5454.8,       1331.7,       3369.8,         753.3 
1978,     403000,       1781,          52,         224,         368,       1137,      22585,       5397,      14522,       2666,         441.9,          12.9,          55.6,          91.3,         282.1,       5604.2,       1339.2,       3603.5,         661.5 
1979,     406000,       1994,          54,         292,         445,       1203,      23193,       5616,      15076,       2501,         491.1,          13.3,          71.9,         109.6,         296.3,       5712.6,       1383.3,       3713.3,         616.0 
1980,     440142,       1919,          39,         250,         360,       1270,      22930,       5545,      14916,       2469,         436.0,           8.9,          56.8,          81.8,         288.5,       5209.7,       1259.8,       3388.9,         561.0 
1981,     412000,       2537,          60,         421,         472,       1584,      24634,       5479,      16310,       2845,         615.8,          14.6,         102.2,         114.6,         384.5,       5979.1,       1329.9,       3958.7,         690.5 
1982,     438000,       2732,          81,         374,         586,       1691,      24479,       5204,      16672,       2603,         623.7,          18.5,          85.4,         133.8,         386.1,       5588.8,       1188.1,       3806.4,         594.3 
1983,     479000,       2940,          66,         486,         465,       1923,      25889,       5720,      17085,       3084,         613.8,          13.8,         101.5,          97.1,         401.5,       5404.8,       1194.2,       3566.8,         643.8 
1984,     500000,       3108,          58,         458,         547,       2045,      27468,       6184,      18140,       3144,         621.6,          11.6,          91.6,         109.4,         409.0,       5493.6,       1236.8,       3628.0,         628.8 
1985,     521000,       3031,          51,         402,         484,       2094,      27588,       6209,      18220,       3159,         581.8,           9.8,          77.2,          92.9,         401.9,       5295.2,       1191.7,       3497.1,         606.3 
1986,     534000,       3046,          46,         388,         470,       2142,      30307,       6204,      20879,       3224,         570.4,           8.6,          72.7,          88.0,         401.1,       5675.5,       1161.8,       3909.9,         603.7 
1987,     525000,       2391,          53,         341,         384,       1613,      25841,       5093,      18195,       2553,         455.4,          10.1,          65.0,          73.1,         307.2,       4922.1,         970.1,       3465.7,         486.3 
1988,     513000,       2682,          29,         296,         374,       1983,      22566,       4321,      15911,       2334,         522.8,           5.7,          57.7,          72.9,         386.5,       4398.8,         842.3,       3101.6,         455.0 
1989,     527000,       2623,          42,         279,         356,       1946,      22567,       4358,      15811,       2398,         497.7,           8.0,          52.9,          67.6,         369.3,       4282.2,         826.9,       3000.2,         455.0 
1990,     550043,       2885,          41,         401,         422,       2021,      25457,       4919,      17428,       3110,         524.5,           7.5,          72.9,          76.7,         367.4,       4628.2,         894.3,       3168.5,         565.4 
1991,     570000,       3499,          42,         523,         645,       2289,      29000,       5582,      20375,       3043,         613.9,           7.4,          91.8,         113.2,         401.6,       5087.7,         979.3,       3574.6,         533.9 
1992,     587000,       3877,          44,         579,         640,       2614,      28816,       5170,      20728,       2918,         660.5,           7.5,          98.6,         109.0,         445.3,       4909.0,         880.7,       3531.2,         497.1 
1993,     599000,       4557,          54,         502,         733,       3268,      28795,       4893,      21201,       2701,         760.8,           9.0,          83.8,         122.4,         545.6,       4807.2,         816.9,       3539.4,         450.9 
1994,     606000,       4644,          38,         418,         886,       3302,      29947,       4848,      21824,       3275,         766.3,           6.3,          69.0,         146.2,         544.9,       4941.7,         800.0,       3601.3,         540.4 
1995,     604000,       4656,          55,         485,         937,       3179,      30097,       5055,      21891,       3151,         770.9,           9.1,          80.3,         155.1,         526.3,       4982.9,         836.9,       3624.3,         521.7 
1996,     607000,       4417,          45,         398,         710,       3264,      28667,       5118,      20557,       2992,         727.7,           7.4,          65.6,         117.0,         537.7,       4722.7,         843.2,       3386.7,         492.9 
1997,     609000,       4270,          54,         403,         648,       3165,      27840,       4276,      20780,       2784,         701.1,           8.9,          66.2,         106.4,         519.7,       4571.4,         702.1,       3412.2,         457.1 
1998,     614000,       4015,          41,         421,         532,       3021,      25316,       4098,      18611,       2607,         653.9,           6.7,          68.6,          86.6,         492.0,       4123.1,         667.4,       3031.1,         424.6 
1999,     619500,       3908,          52,         517,         566,       2773,      23099,       3787,      16654,       2658,         630.8,           8.4,          83.5,          91.4,         447.6,       3728.7,         611.3,       2688.3,         429.1 
2000,     626932,       3554,          27,         497,         490,       2540,      23087,       3899,      16838,       2350,         566.9,           4.3,          79.3,          78.2,         405.1,       3682.5,         621.9,       2685.8,         374.8 
2001,     633630,       3735,          39,         501,         514,       2681,      23160,       3847,      16695,       2618,         589.5,           6.2,          79.1,          81.1,         423.1,       3655.1,         607.1,       2634.8,         413.2 
2002,     641482,       3627,          33,         511,         489,       2594,      24118,       3908,      17739,       2471,         565.4,           5.1,          79.7,          76.2,         404.4,       3759.7,         609.2,       2765.3,         385.2 
2003,     648280,       3877,          39,         605,         446,       2787,      24386,       3874,      18051,       2461,         598.0,           6.0,          93.3,          68.8,         429.9,       3761.6,         597.6,       2784.4,         379.6 
2004,     657755,       4159,          37,         558,         447,       3117,      22172,       3773,      16159,       2240,         632.3,           5.6,          84.8,          68.0,         473.9,       3370.9,         573.6,       2456.7,         340.6 
2005,     663253,       4194,          32,         538,         537,       3087,      23975,       4131,      17249,       2595,         632.0,           4.8,          81.1,          81.0,         465.4,       3615.0,         622.8,       2601.0,         391.0 
2006,     670053,       4610,          36,         512,         600,       3462,      23975,       4155,      17284,       2536,         688.0,           5.4,          76.4,          89.5,         516.7,       3578.1,         620.1,       2579.5,         378.5 
2007,     683478,       4520,          43,         545,         581,       3351,      23096,       3734,      16929,       2433,         661.3,           6.3,          79.7,          85.0,         490.3,       3379.2,         546.3,       2476.9,         356.0 
2008,     686293,       4475,          27,         447,         645,       3356,      20090,       3237,      15225,       1628,         652.1,           3.9,          65.1,          94.0,         489.0,       2927.3,         471.7,       2218.4,         237.2 
2009,     698473,       4424,          22,         513,         654,       3235,      20538,       3600,      15251,       1687,         633.4,           3.1,          73.4,          93.6,         463.2,       2940.4,         515.4,       2183.5,         241.5 
2010,     714146,       4537,          31,         533,         594,       3379,      20259,       3105,      15535,       1619,         635.3,           4.3,          74.6,          83.2,         473.2,       2836.8,         434.8,       2175.3,         226.7 
2011,     723860,       4416,          30,         436,         576,       3374,      19094,       2852,      14854,       1388,         610.1,           4.1,          60.2,          79.6,         466.1,       2637.8,         394.0,       2052.1,         191.7 
2012,     731449,       4412,          30,         583,         630,       3169,      20037,       2950,      15565,       1522,         603.2,           4.1,          79.7,          86.1,         433.2,       2739.4,         403.3,       2128.0,         208.1 

Estimated crime in Arizona

Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
1977,   2296000,      11347,         217,         786,       3173,       7171,     166528,      53866,     102571,      10091,         494.2,           9.5,          34.2,         138.2,         312.3,       7253.0,       2346.1,       4467.4,         439.5 
1978,   2354000,      12996,         221,       1040,       3835,       7900,     165998,      49023,     106042,      10933,         552.1,           9.4,          44.2,         162.9,         335.6,       7051.7,       2082.5,       4504.8,         464.4 
1979,   2450000,      14528,         219,       1120,       4305,       8884,     177977,      48916,     116976,      12085,         593.0,           8.9,          45.7,         175.7,         362.6,       7264.4,       1996.6,       4774.5,         493.3 
1980,   2715357,      17673,         279,       1227,       5258,      10909,     204193,      58527,     132814,      12852,         650.9,          10.3,          45.2,         193.6,         401.8,       7519.9,       2155.4,       4891.2,         473.3 
1981,   2793000,      16082,         227,       1064,       4961,       9830,     196575,      57655,     127469,      11451,         575.8,           8.1,          38.1,         177.6,         352.0,       7038.1,       2064.3,       4563.9,         410.0 
1982,   2860000,      14785,         236,       1100,       4537,       8912,     189161,      53861,     124723,      10577,         517.0,           8.3,          38.5,         158.6,         311.6,       6614.0,       1883.3,       4360.9,         369.8 
1983,   2963000,      14642,         213,       1241,       3923,       9265,     174740,      49440,     114721,      10579,         494.2,           7.2,          41.9,         132.4,         312.7,       5897.4,       1668.6,       3871.8,         357.0 
1984,   3053000,      15756,         238,       1316,       4003,      10199,     182670,      52327,     118604,      11739,         516.1,           7.8,          43.1,         131.1,         334.1,       5983.3,       1714.0,       3884.8,         384.5 
1985,   3187000,      19202,         254,       1458,       4670,      12820,     207591,      59585,     135720,      12286,         602.5,           8.0,          45.7,         146.5,         402.3,       6513.7,       1869.6,       4258.6,         385.5 
1986,   3317000,      21835,         307,       1425,       5614,      14489,     221015,      63278,     143845,      13892,         658.3,           9.3,          43.0,         169.2,         436.8,       6663.1,       1907.7,       4336.6,         418.8 
1987,   3386000,      20742,         253,       1396,       4687,      14406,     222663,      55059,     153296,      14308,         612.6,           7.5,          41.2,         138.4,         425.5,       6576.0,       1626.1,       4527.3,         422.6 
1988,   3466000,      21147,         294,       1345,       4750,      14758,     237808,      54773,     167121,      15914,         610.1,           8.5,          38.8,         137.0,         425.8,       6861.2,       1580.3,       4821.7,         459.1 
1989,   3556000,      21320,         237,       1286,       4944,      14853,     265284,      59284,     181574,      24426,         599.6,           6.7,          36.2,         139.0,         417.7,       7460.2,       1667.2,       5106.1,         686.9 
1990,   3665228,      23911,         284,       1500,       5897,      16230,     265229,      61206,     172375,      31648,         652.4,           7.7,          40.9,         160.9,         442.8,       7236.4,       1669.9,       4703.0,         863.5 
1991,   3750000,      25152,         291,       1590,       6215,      17056,     252559,      60281,     159987,      32291,         670.7,           7.8,          42.4,         165.7,         454.8,       6734.9,       1607.5,       4266.3,         861.1 
1992,   3832000,      25706,         312,       1647,       5867,      17880,     243629,      54095,     158053,      31481,         670.8,           8.1,          43.0,         153.1,         466.6,       6357.8,       1411.7,       4124.6,         821.5 
1993,   3936000,      28142,         339,       1488,       6412,      19903,     264371,      57684,     172689,      33998,         715.0,           8.6,          37.8,         162.9,         505.7,       6716.7,       1465.5,       4387.4,         863.8 
1994,   4075000,      28653,         426,       1465,       6601,      20161,     294273,      60157,     190649,      43467,         703.1,          10.5,          36.0,         162.0,         494.7,       7221.4,       1476.2,       4678.5,       1066.7 
1995,   4218000,      30095,         439,       1418,       7329,      20909,     316355,      59762,     207763,      48830,         713.5,          10.4,          33.6,         173.8,         495.7,       7500.1,       1416.8,       4925.6,       1157.7 
1996,   4428000,      27963,         377,       1381,       7429,      18776,     284964,      55630,     188300,      41034,         631.5,           8.5,          31.2,         167.8,         424.0,       6435.5,       1256.3,       4252.5,         926.7 
1997,   4555000,      28411,         375,       1492,       7547,      18997,     299323,      60077,     195045,      44201,         623.7,           8.2,          32.8,         165.7,         417.1,       6571.3,       1318.9,       4282.0,         970.4 
1998,   4669000,      26984,         376,       1451,       7715,      17442,     280001,      56473,     183137,      40391,         577.9,           8.1,          31.1,         165.2,         373.6,       5997.0,       1209.5,       3922.4,         865.1 
1999,   4778332,      26334,         384,       1383,       7288,      17279,     255401,      49423,     167731,      38247,         551.1,           8.0,          28.9,         152.5,         361.6,       5345.0,       1034.3,       3510.2,         800.4 
2000,   5130632,      27281,         359,       1577,       7504,      17841,     271811,      51902,     176705,      43204,         531.7,           7.0,          30.7,         146.3,         347.7,       5297.8,       1011.6,       3444.1,         842.1 
2001,   5306966,      28675,         400,       1518,       8868,      17889,     293874,      54821,     186850,      52203,         540.3,           7.5,          28.6,         167.1,         337.1,       5537.5,       1033.0,       3520.8,         983.7 
2002,   5441125,      30171,         387,       1608,       8000,      20176,     318296,      59087,     201541,      57668,         554.5,           7.1,          29.6,         147.0,         370.8,       5849.8,       1085.9,       3704.0,       1059.9 
2003,   5579222,      28638,         441,       1856,       7619,      18722,     314335,      58613,     198725,      56997,         513.3,           7.9,          33.3,         136.6,         335.6,       5634.0,       1050.6,       3561.9,       1021.6 
2004,   5739879,      28952,         414,       1896,       7721,      18921,     291203,      56885,     179012,      55306,         504.4,           7.2,          33.0,         134.5,         329.6,       5073.3,         991.0,       3118.7,         963.5 
2005,   5953007,      30478,         445,       2006,       8579,      19448,     287345,      56328,     176112,      54905,         512.0,           7.5,          33.7,         144.1,         326.7,       4827.0,         946.2,       2958.0,         922.0 
2006,   6166318,      33456,         533,       2449,       9491,      20983,     294389,      59418,     178321,      56650,         542.6,           8.6,          39.7,         153.9,         340.3,       4774.1,         963.6,       2891.9,         918.7 
2007,   6338755,      32835,         548,       2353,       9764,      20170,     287308,      59988,     177076,      50244,         518.0,           8.6,          37.1,         154.0,         318.2,       4532.6,         946.4,       2793.5,         792.6 
2008,   6500180,      31567,         462,       2200,       9809,      19096,     266653,      58606,     169460,      38587,         485.6,           7.1,          33.8,         150.9,         293.8,       4102.2,         901.6,       2607.0,         593.6 
2009,   6595778,      28128,         380,       2279,       8199,      17270,     236721,      54308,     155976,      26437,         426.5,           5.8,          34.6,         124.3,         261.8,       3589.0,         823.4,       2364.8,         400.8 
2010,   6413158,      26528,         408,       2191,       6953,      16976,     226802,      50932,     154137,      21733,         413.6,           6.4,          34.2,         108.4,         264.7,       3536.5,         794.2,       2403.4,         338.9 
2011,   6467315,      26789,         397,       2499,       7145,      16748,     229896,      54695,     155400,      19801,         414.2,           6.1,          38.6,         110.5,         259.0,       3554.7,         845.7,       2402.9,         306.2 
2012,   6553255,      28108,         358,       2277,       7386,      18087,     231930,      52934,     159838,      19158,         428.9,           5.5,          34.7,         112.7,         276.0,       3539.2,         807.8,       2439.1,         292.3 

Estimated crime in Arkansas

Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
1977,   2144000,       6924,         188,         592,       1784,       4360,      64709,      20852,      39924,       3933,         322.9,           8.8,          27.6,          83.2,         203.4,       3018.1,         972.6,       1862.1,         183.4 
1978,   2186000,       7522,         199,         505,       1748,       5070,      68151,      21140,      42647,       4364,         344.1,           9.1,          23.1,          80.0,         231.9,       3117.6,         967.1,       1950.9,         199.6 
1979,   2180000,       7984,         198,         595,       1626,       5565,      70949,      21457,      45267,       4225,         366.2,           9.1,          27.3,          74.6,         255.3,       3254.5,         984.3,       2076.5,         193.8 
1980,   2284037,       7656,         210,         609,       1848,       4989,      79390,      25559,      49558,       4273,         335.2,           9.2,          26.7,          80.9,         218.4,       3475.9,       1119.0,       2169.8,         187.1 
1981,   2294000,       7119,         209,         577,       1776,       4557,      79972,      24732,      50959,       4281,         310.3,           9.1,          25.2,          77.4,         198.6,       3486.1,       1078.1,       2221.4,         186.6 
1982,   2291000,       7438,         187,         622,       1805,       4824,      81259,      24547,      52450,       4262,         324.7,           8.2,          27.1,          78.8,         210.6,       3546.9,       1071.5,       2289.4,         186.0 
1983,   2328000,       6930,         178,         586,       1614,       4552,      74563,      22380,      48140,       4043,         297.7,           7.6,          25.2,          69.3,         195.5,       3202.9,         961.3,       2067.9,         173.7 
